-0.04,-0.07,1,1,0
-0.06,-0.08,0.99,1,0
-0.06,-0.08,0.97,1,0
-0.05,-0.07,0.98,1,0
-0.05,-0.05,0.99,1,0
-0.05,-0.07,1.01,1,0
-0.05,-0.04,0.98,1,0
-0.06,-0.06,0.99,1,0
-0.05,-0.04,1,1,0
-0.05,-0.06,0.99,1,0
-0.05,-0.02,1,1,0
-0.05,-0.03,1,1,0
-0.05,-0.04,0.99,1,0
-0.05,-0.03,0.99,1,0
-0.05,-0.03,0.98,1,0
-0.05,-0.03,0.98,1,0
-0.05,-0.03,1,1,0
-0.05,-0.02,0.97,1,0
-0.05,-0.01,0.98,1,0
-0.04,-0.02,1,1,0
-0.05,-0.03,0.99,1,0
-0.05,-0.02,0.98,1,0
-0.05,-0.03,0.98,1,0
-0.05,-0.02,0.98,1,0
-0.05,-0.05,1.01,1,0
-0.06,-0.04,0.99,1,0
-0.05,-0.03,1,1,0
-0.07,-0.05,0.99,1,0
-0.06,-0.03,0.98,1,0
-0.06,-0.04,0.98,1,0
-0.05,-0.02,0.99,1,0
-0.05,-0.04,0.99,1,0
-0.06,-0.04,1,1,0
-0.05,-0.02,0.99,1,0
-0.05,-0.01,0.97,1,0
-0.05,-0.02,1,1,0
-0.05,-0.01,0.99,1,0
-0.05,-0.02,0.99,1,0
-0.05,-0.01,0.99,1,0
-0.06,0,0.98,1,0
-0.06,0,0.97,1,0
-0.04,-0.02,0.99,1,0
-0.05,-0.01,0.98,1,0
-0.03,0.01,0.99,1,0
-0.04,0,0.98,1,0
-0.04,0,0.98,1,0
-0.04,-0.01,0.98,1,0
-0.05,-0.01,0.99,1,0
-0.04,-0.04,1,1,0
-0.04,-0.02,0.99,1,0
-0.04,-0.03,0.98,1,0
-0.03,-0.03,1.02,1,0
-0.04,-0.02,0.99,1,0
-0.05,-0.02,0.97,1,0
-0.04,-0.02,0.99,1,0
-0.04,-0.01,0.99,1,0
-0.05,-0.02,0.98,1,0
-0.04,-0.03,0.97,1,0
-0.04,-0.02,0.98,1,0
-0.04,-0.02,0.99,1,0
-0.05,-0.03,0.98,1,0
-0.05,-0.04,0.99,1,0
-0.05,-0.04,0.99,1,0
-0.04,-0.02,0.98,1,0
-0.04,-0.03,0.99,1,0
-0.05,-0.03,1,1,0
-0.05,-0.03,0.98,1,0
-0.05,-0.03,1,1,0
-0.04,-0.02,0.99,1,0
-0.05,-0.01,0.98,1,0
-0.05,-0.02,0.98,1,0
-0.04,-0.01,1,1,0
-0.05,-0.01,0.97,1,0
-0.05,-0.03,0.99,1,0
-0.04,-0.02,0.99,1,0
-0.04,-0.02,0.99,1,0
-0.05,-0.02,0.98,1,0
-0.05,-0.03,1.01,1,0
-0.05,-0.02,1,1,0
-0.05,-0.02,0.99,1,0
-0.05,-0.02,0.99,1,0
-0.05,-0.02,0.99,1,0
-0.05,-0.03,0.99,1,0
-0.07,-0.05,0.99,1,0
-0.05,-0.02,1,1,0
-0.06,-0.04,0.98,1,0
-0.05,-0.03,0.99,1,0
-0.06,-0.06,1,1,0
-0.06,-0.03,0.96,1,0
-0.06,-0.05,0.97,1,0
-0.06,-0.05,0.99,1,0
-0.05,-0.03,1,1,0
-0.06,-0.05,0.98,1,0
-0.05,-0.04,0.99,1,0
-0.06,-0.05,0.97,1,0
-0.04,-0.04,0.99,1,0
-0.05,-0.05,1,1,0
-0.05,-0.05,0.99,1,0
-0.05,-0.04,0.98,1,0
-0.05,-0.03,0.97,1,0
-0.05,-0.04,0.98,1,0
-0.05,-0.06,0.99,1,0
-0.05,-0.05,0.99,1,0
-0.05,-0.05,1,1,0
-0.04,-0.06,1,1,0
